id;player;time;empty_cells;round
9;H_ALFA_BETA_3;0,030102;41;1
9;MCTS_1000;0,992914;40;2
9;H_ALFA_BETA_3;0,027218;39;2
9;MCTS_1000;0,88844;38;3
9;H_ALFA_BETA_3;0,04015;37;3
9;MCTS_1000;0,912228;36;4
9;H_ALFA_BETA_3;0,027466;35;4
9;MCTS_1000;0,913182;34;5
9;H_ALFA_BETA_3;0,030556;33;5
9;MCTS_1000;0,780191;32;6
9;H_ALFA_BETA_3;0,043338;31;6
9;MCTS_1000;0,438983;30;7
9;H_ALFA_BETA_3;0,029815;29;7
9;MCTS_1000;0,269143;28;8
10;MCTS_1000;0,987281;42;1
10;H_ALFA_BETA_3;0,032084;41;1
10;MCTS_1000;0,974069;40;2
10;H_ALFA_BETA_3;0,048892;39;2
10;MCTS_1000;0,85974;38;3
10;H_ALFA_BETA_3;0,043597;37;3
10;MCTS_1000;0,758339;36;4
10;H_ALFA_BETA_3;0,039198;35;4
10;MCTS_1000;0,624746;34;5
10;H_ALFA_BETA_3;0,045307;33;5
10;MCTS_1000;0,531057;32;6
10;H_ALFA_BETA_3;0,034175;31;6
10;MCTS_1000;0,594433;30;7
10;H_ALFA_BETA_3;0,025912;29;7
10;MCTS_1000;0,492825;28;8
10;H_ALFA_BETA_3;0,025431;27;8
10;MCTS_1000;0,29651;26;9
10;H_ALFA_BETA_3;0,016467;25;9
10;MCTS_1000;0,186542;24;10
11;H_ALFA_BETA_3;0,035304;42;1
11;MCTS_2000;1,961611;41;1
11;H_ALFA_BETA_3;0,025436;40;2
11;MCTS_2000;1,75058;39;2
11;H_ALFA_BETA_3;0,03329;38;3
11;MCTS_2000;1,892597;37;3
11;H_ALFA_BETA_3;0,061635;36;4
11;MCTS_2000;1,735304;35;4
11;H_ALFA_BETA_3;0,024475;34;5
11;MCTS_2000;1,681381;33;5
11;H_ALFA_BETA_3;0,025019;32;6
11;MCTS_2000;1,709195;31;6
11;H_ALFA_BETA_3;0,029625;30;7
11;MCTS_2000;1,686687;29;7
11;H_ALFA_BETA_3;0,027794;28;8
11;MCTS_2000;1,391496;27;8
11;H_ALFA_BETA_3;0,019461;26;9
11;MCTS_2000;1,078304;25;9
11;H_ALFA_BETA_3;0,004957;24;10
11;MCTS_2000;1,157203;23;10
11;H_ALFA_BETA_3;0,022031;22;11
11;MCTS_2000;0,831638;21;11
11;H_ALFA_BETA_3;0,016791;20;12
11;MCTS_2000;0,531792;19;12
11;H_ALFA_BETA_3;0,011121;18;13
11;MCTS_2000;0,349998;17;13
11;H_ALFA_BETA_3;0,007267;16;14
11;MCTS_2000;0,264809;15;14
11;H_ALFA_BETA_3;0,004677;14;15
11;MCTS_2000;0,129451;13;15
11;H_ALFA_BETA_3;0,001478;12;16
11;MCTS_2000;0,096109;11;16
12;H_ALFA_BETA_3;0,030878;42;1
12;MCTS_2000;2,026324;41;1
12;H_ALFA_BETA_3;0,028943;40;2
12;MCTS_2000;1,817877;39;2
12;H_ALFA_BETA_3;0,022358;38;3
12;MCTS_2000;1,659431;37;3
12;H_ALFA_BETA_3;0,042618;36;4
12;MCTS_2000;1,546269;35;4
12;H_ALFA_BETA_3;0,031929;34;5
12;MCTS_2000;1,335203;33;5
12;H_ALFA_BETA_3;0,034109;32;6
12;MCTS_2000;1,090824;31;6
12;H_ALFA_BETA_3;0,020729;30;7
12;MCTS_2000;1,239318;29;7
12;H_ALFA_BETA_3;0,008756;28;8
12;MCTS_2000;1,013122;27;8
12;H_ALFA_BETA_3;0,03899;26;9
12;MCTS_2000;1,112452;25;9
12;H_ALFA_BETA_3;0,026545;24;10
12;MCTS_2000;0,662871;23;10
12;H_ALFA_BETA_3;0,023451;22;11
12;MCTS_2000;0,580166;21;11
12;H_ALFA_BETA_3;0,01189;20;12
12;MCTS_2000;0,427554;19;12
12;H_ALFA_BETA_3;0,01037;18;13
